subject,category,term,definition,,,
LC Comp Science ,Networks and Topologies,The Cloud,A term for accessing storage or other resources remotely across The Internet,,,
LC Comp Science ,Networks and Topologies,Web Server,"A server which hosts web sites and pages for users to access, usually via The Internet",,,
LC Comp Science ,Networks and Topologies,Network Topology,The way in which computers and other network devices are connected together,,,
LC Comp Science ,Networks and Topologies,Star Network,A network topology where all devices connect back to a single central point. All communications travel via the central point,,,
LC Comp Science ,Networks and Topologies,Mesh Network,A network topology where all devices are connected to each other rather than a central point,,,
LC Comp Science ,Networks and Topologies,Bandwidth,The amount of data which can be transferred via a network in any given time. More bandwidth allows more data to travel across the network at the same time resulting in faster transfer speeds,,,
LC Comp Science ,Networks and Topologies,The Internet,A global network connecting millions of computers and other devices,,,
LC Comp Science ,Networks and Topologies,URL,Uniform Resource Locator. A human readable name given to websites and other Internet resources. DNS is used to translate the URL into the IP of the web server,,,
LC Comp Science ,Networks and Topologies,Client,A computer or other device which accesses data from a central server,,,
LC Comp Science ,Wired and Wireless Networks,Ethernet,A physical copper cable used to connect devices on a network. The term also refers to the protocols and standards used to control how data is sent and received on the cable,,,
LC Comp Science ,Wired and Wireless Networks,Wi-Fi,A technology which uses wireless signals to connect network devices,,,
LC Comp Science ,Wired and Wireless Networks,Bluetooth,A short range wireless networking technology. It has relatively low range and speeds and is most often used for peripheral devices such as mice or headsets,,,
LC Comp Science ,Wired and Wireless Networks,Encryption,The process of converting data so that it cannot be easily read or understood without first being decrypted. It is often used to keep important data secure when sharing it over a network,,,
LC Comp Science ,Wired and Wireless Networks,IP Address,Stands for Internet Protocol Address. A unique address assigned to every computer on a network,,,
LC Comp Science ,Wired and Wireless Networks,IPv4,"Internet Protocol Version 4. Devices are assigned addresses made up of four numbers separated by dots, e.g. 232.112.11.1 each number can be between 0 and 255",,,
LC Comp Science ,Wired and Wireless Networks,IPv6,Internet Protocol Version 6. Designed in response to the limited number of addresses in IPv4. Devices are assigned an address made of eight groups of hexadecimal characters such as FE80:CD00:0000:0CDE:1257:0000:211E:729C,,,
LC Comp Science ,Wired and Wireless Networks,MAC Address,Media Access Control Address. A 12 digit hexadecimal number assigned to a network interface card. Each card has its own unique MAC addressed assigned when the card is made,,,
LC Comp Science ,Wired and Wireless Networks,Standard,"An agreed way of doing something allowing different people and organisations to make products and services which work together. There are many standards for networking and communications. Examples: HTML, IP, Bluetooth, GSM, 4G, 5G",,,
LC Comp Science ,Wired and Wireless Networks,Protocol,An agreed set of rules for how network communications should take place,,,
LC Comp Science ,Wired and Wireless Networks,TCP/IP,Transfer Control Protocol / Internet Protocol. A group of standards which control how data is sent and received over networks including the Internet,,,
LC Comp Science ,Wired and Wireless Networks,HTTP,Hypertext Transfer Protocol. A standard for transferring web pages between a client and web server. It is based around the idea that clients send a request which the server responds to,,,
LC Comp Science ,Wired and Wireless Networks,HTTPS,Hypertext Transfer Protocol Secure. A version of the HTTP standard with security added. Commonly used for accessing secure websites such as online banking,,,
LC Comp Science ,Wired and Wireless Networks,FTP,File Transfer Protocol. A standard for file transfer over networks,,,
LC Comp Science ,Wired and Wireless Networks,POP,Post Office Protocol. A standard used by email clients to retrieve emails from an email server,,,
LC Comp Science ,Wired and Wireless Networks,IMAP,Internet Message Access Protocol. A standard used by email clients to access emails stored on an email server. It has the advantage over POP of allowing emails to be stored and organised on the mail server,,,
LC Comp Science ,Wired and Wireless Networks,SMTP,Simple Message Transfer Protocol. A standard used for the sending of emails over networks and The Internet,,,
LC Comp Science ,Network Security,Malware,"A term for any software which is designed with malicious intent. Malware may damage the computer, monitor user activity and files or delete or damage data. There are many different types of malware which behave in different ways",,,
LC Comp Science ,Network Security,Social Engineering,Attempting to gain access to computer systems by targeting the people using the system instead of using technical measures to attack the system itself. People are often the weakest security point in a computer system and examples such as watching someone enter their password or pretending to be their boss and telling them to do something urgently aim to take advantage of this fact,,,
LC Comp Science ,Network Security,Phishing,"Attempting to trick someone in to revealing information such as their password, financial, or other private information by pretending to be someone else. Phishing usually takes place by email, and involves sending an email which pretends to have come from the user's bank or other trusted organisation or person",,,
LC Comp Science ,Network Security,Brute-force attack,"Attempting to guess a code or password by trying every possible solution until the correct one is found. The attack may work through a list of common passwords or dictionary words, or simply start with a code of 0000, followed by 0001 etc",,,
LC Comp Science ,Network Security,Denial of Service Attack,"Attempting to send more traffic or data to a computer system than it is able to handle. If successful, this results in parts of the system, or even the whole system, being unable to process the data is receiving and failing",,,
LC Comp Science ,Network Security,Data Interception,"Attempting to access data whilst it is being transferred between devices, usually over a network. The victim usually has no idea that their data has been stolen, and the attacker may access usernames and passwords or whole files",,,
LC Comp Science ,Network Security,SQL Injection,"Entering SQL code into a data input field on a web site or application. If the system is not correctly coded, and uses a SQL database, the code could be run directly on the database, allowing the attacker to access, change or delete the entire database",,,
LC Comp Science ,Network Security,Penetration Testing,An authorised hacking attempt where a person or company attempts to hack into a system or network and then reports their finding to the system's owner. This allows security flaws to be fixed before real hackers can take advantage of them,,,
LC Comp Science ,Network Security,Anti-Malware Software,"Software which attempts to detect, prevent and remove malware on a computer system. Anti-Virus software is a common example of antimalware software",,,
LC Comp Science ,Network Security,Firewall,"A network security device which checks traffic passing through it against a set of rules, only traffic which meets the rules is allowed through. This prevents traffic from unauthorised devices or using unauthorised protocols from passing through",,,
LC Comp Science ,Network Security,User Access Level,"Controlling which aspects of a system or network users can access. Users are allowed access only to the parts of the system the need, preventing them from accidentally or deliberately damaging sensitive parts of the system or accessing sensitive data",,,
LC Comp Science ,Network Security,Password,"A secret word or phrase, usually provided alongside a username, to control access to a system or network. Only someone who knows the correct password can access the system",,,
LC Comp Science ,Network Security,Physical Security,Securing the physical components of a system or network. This could be as simple as locking a portable computer to a desk or advanced as storing servers in a reinforced building with multiple locked doors,,,
LC Comp Science ,Systems Software,Operating System (OS),"Controls the operation of all aspects of the computer and provides an interface by which a user can interact with the computer. Examples: Microsoft Windows, MacOS, UNIX, Android, iOS",,,
LC Comp Science ,Systems Software,User Interface,"A part of the operating system or other software which allows the user to interact with and control it. They usually comprise of a graphical component which the user can see on a monitor or other display hardware, and way for the user to interact with the system, either by typing commands, or clicking items with a mouse or touchscreen",,,
LC Comp Science ,Systems Software,Memory Management,"The function of the Operating System which manages the computer's memory, controlling how the memory is used and which applications can access it",,,
LC Comp Science ,Systems Software,Multitasking,The ability for an operating system to run more than one task or application at the same time,,,
LC Comp Science ,Systems Software,Peripheral Management,"The ability of an operating system to control and manage hardware devices such as printers, mice or speakers which are connected to the computer",,,
LC Comp Science ,Systems Software,Device Driver,Computer code which provides instructions for how the operating system should interact with a specific piece of hardware. Device drivers are specific to the operating system and piece of hardware for which they were designed,,,
LC Comp Science ,Systems Software,User Management,"A function of the operating system which manages user accounts. In many cases, multiple user accounts can exist with their own username, password and access rights allowing more than one person to use the same computer",,,
LC Comp Science ,Systems Software,File Management,"A function of the operating system which manages files and folders stored on either the computer's internal storage, or external storage devices such as a USB Stick",,,
LC Comp Science ,Systems Software,Access Rights,A function of the operating system which manages the access that different users and applications have to the system. It allows different user accounts or applications to be granted access to different parts of the system,,,
LC Comp Science ,Utility Software,Encryption Software,Software which encrypts data. The encryption process turns the data into code which is only readable with the correct key. This is designed to keep the data secure and prevent it being read by those who should not have access to it,,,
LC Comp Science ,Utility Software,Defragmentation,Software which reorders files stored on a hard disk so that they run in a sensible order to improve performance and efficiency,,,
LC Comp Science ,Utility Software,Data Compression,Software which compresses data so that it takes up less storage space,,,
LC Comp Science ,Ethics and Law,Ethical,"The idea of right and wrong by which people should behave. This is not the same as what is legal or illegal, but the idea of always doing the right thing",,,
LC Comp Science ,Ethics and Law,Legal,"A set of rules which lay out behaviours which are not allowed and the punishments for breaking these rules. Laws vary from country to country, with new laws being made and existing ones being updated",,,
LC Comp Science ,Ethics and Law,Cultural,"A set of behaviours and expectations which people accept as being normal and expected within their daily lives. These are not enforced by any laws, and don't always have to do with right and wrong, but are how people expect things should be. An example might be colouring a delete button red, or ordering items starting at the top left of the screen",,,
LC Comp Science ,Ethics and Law,Environmental,"Matters relating to the natural world around us and making sure we take good care of things like animals, the atmosphere and the planet as a whole",,,
LC Comp Science ,Ethics and Law,Privacy,The expectation that certain information is kept secret. Usually this relates to personal information such as someone's address or medical history which they would not want to be shared,,,
LC Comp Science ,Ethics and Law,The Data Protection Act (2018),A law in the EU which governs the processing of personal data. It outlines the requirements for organisations who handle data and the rights of those who provide the data. GPDR(General Data Protection Regulation (GDPR):),,,
LC Comp Science ,Ethics and Law,Software License,The right for an organisation or user to use a piece of computer software. The license is an agreement between the person or organisation who made the software and those using it and lays out any rules or restrictions associated with use. The user may have to pay either a one time or yearly fee for the license,,,
LC Comp Science ,Ethics and Law,Open Source Software,Software where the code is made available to the public to view or edit as they wish. Open source software is usually free for anyone to use,,,
LC Comp Science ,Ethics and Law,Proprietary Software,Software where the source code is owned by a person or organisation and is not available to the public,,,
LC Comp Science ,Computational Thinking,Computational Thinking,The process of thinking about a problem using computational means in order to create a solution which a computer can implement,,,
LC Comp Science ,Computational Thinking,Abstraction,The process of removing irrelevant or unnecessary information from the problem in order to better understand the basic parts of it,,,
LC Comp Science ,Computational Thinking,Decomposition,The process of breaking a problem down into smaller parts to make it easier to solve,,,
LC Comp Science ,Computational Thinking,Algorithmic Thinking,The process of working out the individual steps needed to solve a problem in order to produce an algorithmic solution,,,
LC Comp Science ,Algorithms,Algorithm,A sequence of logical instructions to carry out a particular task,,,
LC Comp Science ,Algorithms,Structure Diagram,A diagram which shows in graphical format the steps needed to solve a problem. There are several different types of structure diagram and a flow chart is one example,,,
LC Comp Science ,Algorithms,Pseudocode,A way of writing out algorithms or other computer programs in a way which sits somewhere between full sentences and computer code,,,
LC Comp Science ,Algorithms,Flowchart,A way of using pictures and shapes to represent the steps needed to solve a problem or that a program will take,,,
LC Comp Science ,Algorithms,Programming Language,A language which can be understood by computers to produce computer software,,,
LC Comp Science ,Algorithms,Error/Bug,Something wrong in computer code which causes it either to not run at all or to produce an incorrect output,,,
LC Comp Science ,Searching and Sorting,Search,Finding a value or piece of information within a set of data,,,
LC Comp Science ,Searching and Sorting,Binary Search,"A way of searching an ordered list by looking at the middle item in the list, then looking at either the items above or below depending on if the required value is higher or lower. This process repeats until the value is found",,,
LC Comp Science ,Searching and Sorting,Linear Search,"A way of searching through a list items, checking them one at a time until the required value is found",,,
LC Comp Science ,Searching and Sorting,Sort,"A way of placing information into a certain order, such as alphabetically or by number",,,
LC Comp Science ,Searching and Sorting,Bubble Sort,"A way or sorting a list by comparing the items in a list, two at a time, and changing the order if needed. The process repeats until the list is in the correct order",,,
LC Comp Science ,Searching and Sorting,Quick Sort,"This recursive algorithm works by picking an element as a pivot and rearranging the array so that all elements less than the pivot come before it, and all elements greater than the pivot come after it. It then recursively applies this partitioning process to the sub-arrays of smaller and larger elements until the entire array is sorted",,,
LC Comp Science ,Searching and Sorting,Selection Sort,"This sorting method repeatedly finds the minimum element from the unsorted part of the array and places it at the beginning of the sorted part. The algorithm iterates through the array, selecting the smallest remaining element and swapping it into its correct sorted position until the entire array is sorted",,,
LC Comp Science ,Searching and Sorting,Insertion Sort,A way of sorting a list by working through the items one at a time and placing them in the correct position in the list,,,
LC Comp Science ,Algorithm Complexity,Time Complexity,Measures how the execution time of an algorithm grows as the input size increases. It's often expressed using Big O notation to describe the upper bound of the growth rate,,,
LC Comp Science ,Algorithm Complexity,Space Complexity,"Measures the amount of memory (storage space) an algorithm uses as a function of the input size. Similar to time complexity, it's often described using Big O notation",,,
LC Comp Science ,Algorithm Complexity,Big O Notation,"A mathematical notation used to describe the limiting behavior of a function when the argument tends towards a particular value or infinity. In algorithm analysis, it describes the worst-case scenario for time or space complexity",,,
LC Comp Science ,Algorithm Complexity,Worse case complexity,The maximum amount of time or space an algorithm will take for any input of a given size. This provides an upper bound on the algorithm's resource usage. We are more focused on time rather than space,,,
LC Comp Science ,Algorithm Complexity,Average case complexity,"The average amount of time or space an algorithm takes, considering all possible inputs of a given size and assuming a certain distribution of those inputs. This is often harder to calculate than worst-case complexity",,,
LC Comp Science ,Programming Fundamentals,Variable,A named value in which data can be stored by a computer program. The data can be changed as the program runs,,,
LC Comp Science ,Programming Fundamentals,Constant,A named value which is accessed by a computer program but is fixed and cannot be changed,,,
LC Comp Science ,Programming Fundamentals,Operator,Operators compare or modify values in computer code. Examples include + < and NOT,,,
LC Comp Science ,Programming Fundamentals,Input,"Data or information which is put into the program. This could be entered via a user, or taken from a sensor",,,
LC Comp Science ,Programming Fundamentals,Output,"Data or information which the program produces. This could be shown on a screen, sent to a printer, or saved to a file",,,
LC Comp Science ,Programming Fundamentals,Assignment,The process of placing a value in to a variable,,,
LC Comp Science ,Programming Fundamentals,Sequence,Following through a set of steps in a particular order,,,
LC Comp Science ,Programming Fundamentals,Selection,Taking different paths through the code depending on a condition,,,
LC Comp Science ,Programming Fundamentals,Iteration,Repeating a set of steps several times,,,
LC Comp Science ,Programming Fundamentals,Count Controlled Loop,Using a counter to loop through one or more lines of code until they have been run a certain number of times,,,
LC Comp Science ,Programming Fundamentals,Condition Controlled Loop,Using a loop to repeat one or more lines of code until a certain condition is met,,,
LC Comp Science ,Programming Fundamentals,Arithmetic Operator,An operator which uses maths to modify numbers such as +,,,
LC Comp Science ,Programming Fundamentals,Boolean Operator,An operator which uses a logical criteria to compare two values such as < or AND,,,
LC Comp Science ,Data Types,Integer,"A whole number without a decimal point or fraction. E.g. 1, 100 or 88122",,,
LC Comp Science ,Data Types,Real,A number which may include a decimal point such as 11.2,,,
LC Comp Science ,Data Types,Boolean Operator,A value which can be only TRUE or FALSE,,,
LC Comp Science ,Data Types,Character,"A single symbol, for example a letter, number or punctuation mark",,,
LC Comp Science ,Data Types,String,"A number of characters together, usually to form a word or sentence",,,
LC Comp Science ,Data Types,Casting,"The process of forcing a value into a certain format, for example forcing a telephone number to be stored as a string and not an integer",,,
LC Comp Science ,Programming Techniques,String Manipulation,A broad term for a number of ways to change or modify strings,,,
LC Comp Science ,Programming Techniques,Concatenation,The process of joining two or more strings together,,,
LC Comp Science ,Programming Techniques,Slicing,The process of splitting a string into two or more parts,,,
LC Comp Science ,Programming Techniques,File Handling,"Ways in which computer code can interact with files on the computer's disk, such as opening them or writing data to them",,,
LC Comp Science ,Programming Techniques,Record,A single row or related information in a database table,,,
LC Comp Science ,Programming Techniques,Table,A group of records and fields stored together in a database,,,
LC Comp Science ,Programming Techniques,Field,A part of a record in the database which stores specific information such as a name or address,,,
LC Comp Science ,Programming Techniques,SQL,Structured Query Language. A programming language designed to be used with databases,,,
LC Comp Science ,Programming Techniques,Array,A set of data items stored together with a single name and accessed by a program,,,
LC Comp Science ,Programming Techniques,Sub Program,A smaller part of the program which performs a specific task,,,
LC Comp Science ,Programming Techniques,Function,A sub program which performs a specific tasks and always returns a specific value when run,,,
LC Comp Science ,Programming Techniques,Procedure,A sub program which performs a specific task but does not always return a value,,,
LC Comp Science ,Programming Techniques,Random Number,"A number generated by computer at random. Essential in LC Comp Science , primarily because they introduce unpredictability and variability, which are essential for various applications, e.g. computer games, computer security, simulations and modelling",,,
LC Comp Science ,Defensive Design,Defensive Design,"Designing and building computer code with the ability to keep it secure, easy to maintain and robust as a priority",,,
LC Comp Science ,Defensive Design,Authentication,"A security mechanism which requires a password, code, fingerprint or other factor to gain access to all or part of a system",,,
LC Comp Science ,Defensive Design,Input Validation,The process of comparing data entered into the program to a set of rules to ensure it is valid and will not damage the system before processing it,,,
LC Comp Science ,Defensive Design,Maintainability,"The ability to keep code updated, fix bugs and add new features easily",,,
LC Comp Science ,Defensive Design,Naming Conventions,An agreed way of naming parts of the program such as variables or sub programs such that they are easy to read and their purpose is clear,,,
LC Comp Science ,Defensive Design,Indentation,Inserting spaces at the start of a line or lines of code so to group them together and make the code easier to read,,,
LC Comp Science ,Defensive Design,Comment,Lines which do not form part of the code and are not executed but instead provide notes and explanations to those looking at the code,,,
LC Comp Science ,Testing,Testing,The process of trialling a program in order to ensure it performs as expected,,,
LC Comp Science ,Testing,Unit testing,"Focuses on testing individual, isolated parts of the code (units) to ensure they function correctly in isolation. It verifies that each component performs as designed",,,
LC Comp Science ,Testing,Whitebox testing,Involves examining the internal structure and code of the software to design test cases. The tester has knowledge of the implementation details,,,
LC Comp Science ,Testing,Blackbox testing,"Tests the software without knowledge of its internal structure, focusing on the inputs and outputs. The tester evaluates functionality from an end-user perspective",,,
LC Comp Science ,Testing,Iterative Testing,Testing which is carried out whilst the program is being developed,,,
LC Comp Science ,Testing,Final Testing,Testing which is carried out at the end of development just before the code is released,,,
LC Comp Science ,Testing,Syntax Error,An error which breaks the rules of the programming language and stops the code from running,,,
LC Comp Science ,Testing,Logic Error,An error which produces an unexpected output even though the code still runs,,,
LC Comp Science ,Testing,Normal Data,Data which the program should accept without error,,,
LC Comp Science ,Testing,Boundary Data,Data at the extremes of what the program should accept without error,,,
LC Comp Science ,Testing,Invalid Data,"Data of the correct type, but not valid for the program and which should be rejected",,,
LC Comp Science ,Testing,Erroneous Data,Data which is the wrong type and should be rejected,,,
LC Comp Science ,Boolean Logic,AND,Has two inputs and outputs 1 only if both are 1,,,
LC Comp Science ,Boolean Logic,OR,"Has two inputs, if both are 1 then outputs 1, otherwise outputs 0",,,
LC Comp Science ,Boolean Logic,NOT,Has a single input and outputs the opposite of that input,,,
LC Comp Science ,Boolean Logic,NAND,"Opposite of AND, it's true(1) only if at least one of its inputs is false",,,
LC Comp Science ,Boolean Logic,NOR,"Opposite of OR, It's true(1) only if both of its inputs are false",,,
LC Comp Science ,Boolean Logic,XOR,It's true only if two inputs are different,,,
LC Comp Science ,Boolean Logic,Truth Tables,A table which shows the possible input and output values for a logic gate,,,
LC Comp Science ,Boolean Logic,Logic Gate,"An operator such as AND, OR or NOT which performs a logical function on the input",,,
LC Comp Science ,Boolean Logic,Logic Diagram,A diagram showing one or more logic gates together,,,
LC Comp Science ,Programming Languages,Programming Language,A language which can be understood by computers to produce computer software,,,
LC Comp Science ,Programming Languages,High Level Language,A programming language which is close to English in the commands used making it easier to learn and understand,,,
LC Comp Science ,Programming Languages,Low Level Language,"A programming language closer to machine code, using less English like commands making it harder to understand",,,
LC Comp Science ,Programming Languages,Translator,A piece of software which converts programming language into machine code which the computer can understand and execute,,,
LC Comp Science ,Programming Languages,Compiler,"A translator which converts code in one go. Example languages that are compiled: C, C++",,,
LC Comp Science ,Programming Languages,Interpreter,"A translator which converts code line by line. Example languages that are interpreted: Python, JavaScript, Ruby",,,
LC Comp Science ,Programming Languages,Integrated Development Environment (IDE),A piece of software used by developers to write computer code. They often contain features such as translators and syntax highlighters to make it easier to write code. Thonny and Visual Studio are examples of IDEs,,,
LC Comp Science ,Programming Languages,Editor,A piece of software used to write computer code,,,
LC Comp Science ,Programming Languages,Error Diagnostics,Tools to help locate and resolve errors in code,,,
LC Comp Science ,Programming Languages,Runtime Environment,"A tool which allows code to run on a system for which it was not designed. For example, running a mobile phone app on a desktop computer",,,
LC Comp Science ,Data Analytics,Big Data,Extremely large datasets that require specialized tools for analysis,,,
LC Comp Science ,Data Analytics,Data Mining,Discovering patterns and insights from large datasets,,,
LC Comp Science ,Data Analytics,Predictive Analytics,Using data to forecast future trends and outcomes,,,
LC Comp Science ,Data Analytics,Machine Learning,Algorithms that enable computers to learn from data without explicit programming,,,
LC Comp Science ,Data Analytics,ETL,"Extract, Transform, Load: the processing of collecting and preparing data for analysis",,,
LC Comp Science ,Data Analytics,Data Cleansing,The process of correcting or removing inaccurate data,,,
LC Comp Science ,Data Analytics,Database,A structured collection of data organized for efficient access and management,,,
LC Comp Science ,Data Analytics,Business Intelligence (BI),Tools and processes for analyzing data to inform business decisions,,,
LC Comp Science ,Data Analytics,Data Visualisation,Representing data graphically to understand trends and patterns,,,
LC Comp Science ,Databases,Schema,A blueprint or logical structure of a database,,,
LC Comp Science ,Databases,DBMS,"Software that allows users to create, manage, and query databases. Examples: Oracle, MySQL, Microsoft SQLServer",,,
LC Comp Science ,Databases,Primary Key,A unique identifier for each row in a database table,,,
LC Comp Science ,Databases,Foreign Key,"A field in one table that references the primary key in another table, establishing a relationship",,,
LC Comp Science ,Databases,ERD,"Entity Relationship Diagram, used to describe key entities and relationships between them",,,
LC Comp Science ,Databases,Relational Database,"Organizes data into tables with rows and columns, linked by relationships. Examples are MySQL, SQL Server, Oracle, PostgreSQL",,,
LC Comp Science ,Databases,SQL,Structured Query Language,,,
LC Comp Science ,Databases,NoSQL databases,"Non-relational databases that handle unstructured or semi-structured data. Examples are Firebase, MongoDB, DynamoDB, Neo4J",,,
LC Constr Studies,Health & Safety,PPE,"Personal Protective Equipment, such as a hard hat, steel-toed boots, high-vis vest, gloves, and safety glasses.",,,
LC Constr Studies,Health & Safety,Safety Statement,"A written document outlining how a company manages health and safety in the workplace, identifying hazards and assessing risks.",,,
LC Constr Studies,Health & Safety,Risk Assessment,The process of identifying potential hazards and analyzing what could happen if a hazard occurs.,,,
LC Constr Studies,Health & Safety,Manual Handling,The transporting or supporting of a load by hand or bodily force. It is a common cause of workplace injuries.,,,
LC Constr Studies,Health & Safety,Safe Pass,"A one-day safety awareness programme for construction workers, required for anyone working on a construction site.",,,
LC Constr Studies,Health & Safety,Scaffolding Tag System,"A system (e.g., green, yellow, red tags) used to indicate the safety status of scaffolding. Green means it is safe to use.",,,
LC Constr Studies,Health & Safety,HSA,Health and Safety Authority. The state agency in Ireland responsible for workplace health and safety.,,,
LC Constr Studies,Health & Safety,Hazard,"Anything with the potential to cause harm, such as trailing cables, working at height, or asbestos.",,,
LC Constr Studies,Health & Safety,Toolbox Talk,"An informal safety meeting, usually held on-site, that focuses on a specific job-related safety topic.",,,
LC Constr Studies,Health & Safety,First Aid,Immediate assistance given to any person suffering a sudden illness or injury.,,,
LC Constr Studies,Site Preliminaries,Site Investigation,The process of collecting information about a site's ground conditions to determine its suitability for a proposed construction project.,,,
LC Constr Studies,Site Preliminaries,Trial Hole,A pit dug on-site to examine the soil profile and determine the depth of the water table.,,,
LC Constr Studies,Site Preliminaries,Percolation Test,A test to determine the absorption rate of soil for a septic tank drain field or soakaway.,,,
LC Constr Studies,Site Preliminaries,Planning Permission,Formal permission from a local authority for the erection or alteration of buildings or other structures.,,,
LC Constr Studies,Site Preliminaries,Building Regulations,"A set of legal requirements for the design and construction of new buildings, extensions, and material alterations to ensure health, safety, and welfare.",,,
LC Constr Studies,Site Preliminaries,Site Plan,"A drawing showing the layout of a property or group of properties, including boundaries, buildings, and access routes.",,,
LC Constr Studies,Site Preliminaries,Ordnance Datum (OD),The height of a point on land in relation to mean sea level. Used as a reference point for levelling.,,,
LC Constr Studies,Site Preliminaries,Environmental Impact Assessment (EIA),A formal process to predict the environmental consequences of a proposed development before it is carried out.,,,
LC Constr Studies,Site Preliminaries,Setting Out,"The process of transferring the building design from drawings onto the ground, marking out the position of foundations and walls.",,,
LC Constr Studies,Site Preliminaries,Profiles,"Timber frames erected clear of the foundation trenches, onto which the building lines are transferred and held.",,,
LC Constr Studies,Substructure,Foundations,The part of the structure that transmits the building's load to the supporting ground.,,,
LC Constr Studies,Substructure,Strip Foundation,A continuous strip of concrete that supports load-bearing walls.,,,
LC Constr Studies,Substructure,Raft Foundation,"A large slab of concrete covering the entire footprint of a building, used on soft or unstable ground.",,,
LC Constr Studies,Substructure,Pile Foundation,"Long columns of concrete, steel, or timber driven into the ground to transfer loads to a deeper, more stable soil layer.",,,
LC Constr Studies,Substructure,Pad Foundation,"An isolated concrete pad used to support a single point load, such as a column.",,,
LC Constr Studies,Substructure,Rising Wall / Substructure Wall,The wall built from the top of the foundation up to the ground floor level (DPC level).,,,
LC Constr Studies,Substructure,Hardcore,A layer of broken stones or rubble compacted to provide a solid base for a ground floor slab.,,,
LC Constr Studies,Substructure,Blinding,"A thin layer of fine material, like sand or weak concrete, laid over hardcore to create a smooth, level surface.",,,
LC Constr Studies,Substructure,Radon,"A radioactive gas that comes from the ground and can accumulate in buildings, posing a health risk.",,,
LC Constr Studies,Substructure,'Radon Barrier','A membrane installed in the floor construction to prevent radon gas from entering the building.',,,
LC Constr Studies,Substructure,DPC,Damp Proof Course. An impermeable layer built into a wall to prevent rising damp.,,,
LC Constr Studies,Substructure,DPM,"Damp Proof Membrane. A sheet of impermeable material, like polythene, laid under a concrete floor to prevent moisture from the ground rising into the building.",,,
LC Constr Studies,Substructure,Solid Ground Floor,A floor consisting of a concrete slab cast directly onto a hardcore base.,,,
LC Constr Studies,Substructure,Suspended Timber Floor,"A floor consisting of timber joists supported by sleeper walls, creating a void underneath.",,,
LC Constr Studies,Substructure,Sleeper Walls,Small walls built on top of the foundations to provide intermediate support for the joists in a suspended timber floor.,,,
LC Constr Studies,Substructure,Air Bricks / Vents,Bricks with small openings built into the rising walls of a suspended floor to ensure adequate sub-floor ventilation.,,,
LC Constr Studies,Superstructure,Cavity Wall,A wall constructed of two separate leaves (inner and outer) with a continuous air gap (cavity) in between.,,,
LC Constr Studies,Superstructure,Inner Leaf,"The internal skin of a cavity wall, usually built from concrete blocks and is load-bearing.",,,
LC Constr Studies,Superstructure,Outer Leaf,"The external skin of a cavity wall, which protects the structure from weather. Usually made of brick or rendered block.",,,
LC Constr Studies,Superstructure,Wall Ties,"Metal strips (often stainless steel) used to tie the inner and outer leaves of a cavity wall together, providing stability.",,,
LC Constr Studies,Superstructure,Weep Holes,"Small openings left in the mortar joints of the outer leaf, just above the DPC and lintels, to allow trapped moisture to escape.",,,
LC Constr Studies,Superstructure,Lintel,A horizontal beam of concrete or steel placed above an opening (like a door or window) to support the load above it.,,,
LC Constr Studies,Superstructure,Reveals,The internal sides of a window or door opening.,,,
LC Constr Studies,Superstructure,Jambs,The vertical sides of a door or window frame.,,,
LC Constr Studies,Superstructure,Sill / Cill,"The horizontal component at the bottom of a window opening, designed to shed water away from the wall.",,,
LC Constr Studies,Superstructure,Timber Frame Construction,"A method of construction where the structural frame is made of timber panels, which are then clad with brick, block, or render.",,,
LC Constr Studies,Superstructure,Sheathing,"A board or panel material, like plywood or OSB, fastened to the outside of a timber frame to provide structural rigidity.",,,
LC Constr Studies,Superstructure,Breather Membrane,A membrane fixed to the outside of the timber frame sheathing. It is waterproof but allows water vapour to escape.,,,
LC Constr Studies,Superstructure,Vapour Control Layer (VCL),A membrane placed on the warm side of the insulation in a timber frame wall to prevent moisture vapour from entering the structure and causing condensation.,,,
LC Constr Studies,Roofs,Pitched Roof,"A roof that slopes downwards, typically in two parts from a central ridge.",,,
LC Constr Studies,Roofs,Flat Roof,"A roof that is nearly level, with a very slight slope (fall) to allow rainwater to drain.",,,
LC Constr Studies,Roofs,Roof Truss,A prefabricated structural framework of timbers designed to bridge the space above a room and provide support for a roof.,,,
LC Constr Studies,Roofs,Fink Truss,"The most common type of roof truss, shaped like a 'W'.",,,
LC Constr Studies,Roofs,King Post Truss,"A truss with a central vertical post, used for shorter spans.",,,
LC Constr Studies,Roofs,Rafter,An inclined timber member that forms the main structure of a pitched roof.,,,
LC Constr Studies,Roofs,Ridge Board,The horizontal timber at the apex of a pitched roof to which the tops of the rafters are fixed.,,,
LC Constr Studies,Roofs,Purlin,A horizontal beam that provides intermediate support for the rafters.,,,
LC Constr Studies,Roofs,Ceiling Joist,A horizontal timber that forms the 'floor' of the attic and the 'ceiling' of the room below. It also ties the feet of the rafters together.,,,
LC Constr Studies,Roofs,Fascia,"The vertical board fixed to the ends of the rafters, to which the guttering is attached.",,,
LC Constr Studies,Roofs,Soffit,The board that encloses the underside of the roof overhang.,,,
LC Constr Studies,Roofs,Bargeboard / Vergeboard,A board fixed to the gable end of a roof to protect the projecting timbers.,,,
